"fname"	"Peaklist"	"Region"	"X"	"Y"	"Acquisition"
"0_R00X059Y202.txt"	"R00X059Y202"	0	59	202	12859
"0_R00X059Y203.txt"	"R00X059Y203"	0	59	203	12925
"0_R00X059Y204.txt"	"R00X059Y204"	0	59	204	12991
"0_R00X059Y205.txt"	"R00X059Y205"	0	59	205	13057
"0_R00X059Y206.txt"	"R00X059Y206"	0	59	206	13121
"0_R00X059Y207.txt"	"R00X059Y207"	0	59	207	13184
"0_R00X059Y208.txt"	"R00X059Y208"	0	59	208	13245
"0_R00X059Y209.txt"	"R00X059Y209"	0	59	209	13305
"0_R00X059Y210.txt"	"R00X059Y210"	0	59	210	13363
"0_R00X059Y211.txt"	"R00X059Y211"	0	59	211	13419
"0_R00X059Y212.txt"	"R00X059Y212"	0	59	212	13473
"0_R00X060Y170.txt"	"R00X060Y170"	0	60	170	10680
"0_R00X060Y171.txt"	"R00X060Y171"	0	60	171	10750
"0_R00X060Y172.txt"	"R00X060Y172"	0	60	172	10820
"0_R00X060Y173.txt"	"R00X060Y173"	0	60	173	10890
"0_R00X060Y174.txt"	"R00X060Y174"	0	60	174	10961
"0_R00X060Y175.txt"	"R00X060Y175"	0	60	175	11032
"0_R00X060Y194.txt"	"R00X060Y194"	0	60	194	12321
"0_R00X060Y195.txt"	"R00X060Y195"	0	60	195	12390
"0_R00X060Y196.txt"	"R00X060Y196"	0	60	196	12458
"0_R00X060Y197.txt"	"R00X060Y197"	0	60	197	12526
"0_R00X060Y198.txt"	"R00X060Y198"	0	60	198	12593
"0_R00X060Y199.txt"	"R00X060Y199"	0	60	199	12660
"0_R00X060Y200.txt"	"R00X060Y200"	0	60	200	12727
"0_R00X060Y201.txt"	"R00X060Y201"	0	60	201	12793
"0_R00X060Y202.txt"	"R00X060Y202"	0	60	202	12860
"0_R00X060Y203.txt"	"R00X060Y203"	0	60	203	12926
"0_R00X060Y204.txt"	"R00X060Y204"	0	60	204	12992
"0_R00X060Y205.txt"	"R00X060Y205"	0	60	205	13058
"0_R00X060Y206.txt"	"R00X060Y206"	0	60	206	13122
"0_R00X060Y207.txt"	"R00X060Y207"	0	60	207	13185
"0_R00X060Y208.txt"	"R00X060Y208"	0	60	208	13246
"0_R00X060Y209.txt"	"R00X060Y209"	0	60	209	13306
"0_R00X060Y210.txt"	"R00X060Y210"	0	60	210	13364
"0_R00X060Y211.txt"	"R00X060Y211"	0	60	211	13420
"0_R00X060Y212.txt"	"R00X060Y212"	0	60	212	13474
"0_R00X060Y213.txt"	"R00X060Y213"	0	60	213	13526
"0_R00X061Y166.txt"	"R00X061Y166"	0	61	166	10404
"0_R00X061Y167.txt"	"R00X061Y167"	0	61	167	10473
"0_R00X061Y168.txt"	"R00X061Y168"	0	61	168	10542
"0_R00X061Y169.txt"	"R00X061Y169"	0	61	169	10611
"0_R00X061Y170.txt"	"R00X061Y170"	0	61	170	10681
"0_R00X061Y171.txt"	"R00X061Y171"	0	61	171	10751
"0_R00X061Y172.txt"	"R00X061Y172"	0	61	172	10821
"0_R00X061Y173.txt"	"R00X061Y173"	0	61	173	10891
"0_R00X061Y174.txt"	"R00X061Y174"	0	61	174	10962
"0_R00X061Y175.txt"	"R00X061Y175"	0	61	175	11033
"0_R00X061Y176.txt"	"R00X061Y176"	0	61	176	11103
"0_R00X061Y192.txt"	"R00X061Y192"	0	61	192	12185
"0_R00X061Y193.txt"	"R00X061Y193"	0	61	193	12253
"0_R00X061Y194.txt"	"R00X061Y194"	0	61	194	12322
"0_R00X061Y195.txt"	"R00X061Y195"	0	61	195	12391
"0_R00X061Y196.txt"	"R00X061Y196"	0	61	196	12459
"0_R00X061Y197.txt"	"R00X061Y197"	0	61	197	12527
"0_R00X061Y198.txt"	"R00X061Y198"	0	61	198	12594
"0_R00X061Y199.txt"	"R00X061Y199"	0	61	199	12661
"0_R00X061Y200.txt"	"R00X061Y200"	0	61	200	12728
"0_R00X061Y201.txt"	"R00X061Y201"	0	61	201	12794
"0_R00X061Y202.txt"	"R00X061Y202"	0	61	202	12861
"0_R00X061Y203.txt"	"R00X061Y203"	0	61	203	12927
"0_R00X061Y204.txt"	"R00X061Y204"	0	61	204	12993
"0_R00X061Y205.txt"	"R00X061Y205"	0	61	205	13059
"0_R00X061Y206.txt"	"R00X061Y206"	0	61	206	13123
"0_R00X061Y207.txt"	"R00X061Y207"	0	61	207	13186
"0_R00X061Y208.txt"	"R00X061Y208"	0	61	208	13247
"0_R00X061Y209.txt"	"R00X061Y209"	0	61	209	13307
"0_R00X061Y210.txt"	"R00X061Y210"	0	61	210	13365
"0_R00X061Y211.txt"	"R00X061Y211"	0	61	211	13421
"0_R00X061Y212.txt"	"R00X061Y212"	0	61	212	13475
"0_R00X061Y213.txt"	"R00X061Y213"	0	61	213	13527
"0_R00X061Y214.txt"	"R00X061Y214"	0	61	214	13577
"0_R00X062Y163.txt"	"R00X062Y163"	0	62	163	10222
"0_R00X062Y164.txt"	"R00X062Y164"	0	62	164	10281
"0_R00X062Y165.txt"	"R00X062Y165"	0	62	165	10340
"0_R00X062Y166.txt"	"R00X062Y166"	0	62	166	10405
"0_R00X062Y167.txt"	"R00X062Y167"	0	62	167	10474
"0_R00X062Y168.txt"	"R00X062Y168"	0	62	168	10543
"0_R00X062Y169.txt"	"R00X062Y169"	0	62	169	10612
"0_R00X062Y170.txt"	"R00X062Y170"	0	62	170	10682
"0_R00X062Y171.txt"	"R00X062Y171"	0	62	171	10752
"0_R00X062Y172.txt"	"R00X062Y172"	0	62	172	10822
"0_R00X062Y173.txt"	"R00X062Y173"	0	62	173	10892
"0_R00X062Y174.txt"	"R00X062Y174"	0	62	174	10963
"0_R00X062Y175.txt"	"R00X062Y175"	0	62	175	11034
"0_R00X062Y176.txt"	"R00X062Y176"	0	62	176	11104
"0_R00X062Y177.txt"	"R00X062Y177"	0	62	177	11173
"0_R00X062Y190.txt"	"R00X062Y190"	0	62	190	12049
"0_R00X062Y191.txt"	"R00X062Y191"	0	62	191	12117
"0_R00X062Y192.txt"	"R00X062Y192"	0	62	192	12186
"0_R00X062Y193.txt"	"R00X062Y193"	0	62	193	12254
"0_R00X062Y194.txt"	"R00X062Y194"	0	62	194	12323
"0_R00X062Y195.txt"	"R00X062Y195"	0	62	195	12392
"0_R00X062Y196.txt"	"R00X062Y196"	0	62	196	12460
"0_R00X062Y197.txt"	"R00X062Y197"	0	62	197	12528
"0_R00X062Y198.txt"	"R00X062Y198"	0	62	198	12595
"0_R00X062Y199.txt"	"R00X062Y199"	0	62	199	12662
